Job-id,name-of-company,name-of-job,Job-URL,location,salary,skills
1009323880044,CGI,Business Systems Analyst (GoLang),"https://www.glassdoor.ca/job-listing/business-systems-analyst-golang-cgi-JV_IC2281069_KO0,31_KE32,35.htm?jl=1009323880044",Toronto,$69K - $95K(Glassdoor Est.),"Go, Microservices, Project management, Scrum, Organizational skills"
1009248164493,Pragra Incorporated,business systems analyst,"https://www.glassdoor.ca/job-listing/business-systems-analyst-pragra-incorporated-JV_IC2288053_KO0,24_KE25,44.htm?jl=1009248164493",Brampton,$46.00 - $48.00Â Per hour(Employer Est.),English
1009126950073,"Couchbase, Inc.",Netsuite Senior Business Analyst,"https://www.glassdoor.ca/job-listing/netsuite-senior-business-analyst-couchbase-inc-JV_KO0,32_KE33,46.htm?jl=1009126950073",Remote,,"NetSuite, APIs, Communication skills"
1009353409251,The Home Depot Canada,"Business Analyst, Supplier Engagement (Askuity division)","https://www.glassdoor.ca/job-listing/business-analyst-supplier-engagement-askuity-division-the-home-depot-canada-JV_IC2281069_KO0,53_KE54,75.htm?jl=1009353409251",Toronto,$71K - $82K(Glassdoor Est.),"Microsoft Excel, Vendor management, Supply chain, Analytics"
1009374686391,Bombardier,Quality Assurance Analyst,"https://www.glassdoor.ca/job-listing/quality-assurance-analyst-bombardier-JV_IC2300895_KO0,25_KE26,36.htm?jl=1009374686391",Dorval,,"Microsoft Powerpoint, Microsoft Word, Microsoft Excel"
1009379131191,Infosys,Business Analyst,"https://www.glassdoor.ca/job-listing/business-analyst-infosys-JV_IC2275123_KO0,16_KE17,24.htm?jl=1009379131191",Calgary,$86K - $104K(Glassdoor Est.),"Jira, Power BI, Microsoft Excel, Sales, Tableau"
1009327067957,Event Media Design,"analyst, marketing","https://www.glassdoor.ca/job-listing/analyst-marketing-event-media-design-JV_IC2281069_KO0,17_KE18,36.htm?jl=1009327067957",Toronto,$67K - $87K(Employer Est.),English
1009366498844,"Revlon Canada, Inc.","Senior Analyst, Sales (Contract)","https://www.glassdoor.ca/job-listing/senior-analyst-sales-contract-revlon-canada-inc-JV_IC2280741_KO0,29_KE30,47.htm?jl=1009366498844",Mississauga,$61K - $77K(Glassdoor Est.),"Microsoft Powerpoint, Microsoft Word, Microsoft Excel, Retail Link, Project planning"
1009388434788,TC Energie,Business Analyst,"https://www.glassdoor.ca/job-listing/business-analyst-tc-energie-JV_IC2275123_KO0,16_KE17,27.htm?jl=1009388434788",Calgary,$95K - $125K(Glassdoor Est.),"Computer science, Power BI, Visio, Usability, IT"
1009369870024,Vancouver Coastal Health,"Functional Analyst, Process Improvement","https://www.glassdoor.ca/job-listing/functional-analyst-process-improvement-vancouver-coastal-health-JV_IC2278756_KO0,38_KE39,63.htm?jl=1009369870024",Vancouver,$38.13 - $54.82Â Per hour(Employer Est.),"Project planning, Business requirements, Communication skills"
1009291857737,Conquer Infotech Inc.,database analyst,"https://www.glassdoor.ca/job-listing/database-analyst-conquer-infotech-inc-JV_IC2281816_KO0,16_KE17,37.htm?jl=1009291857737",Woodbridge,$43.50Â Per hour(Employer Est.),English
1009315526973,magnum millwork inc,sales analyst,"https://www.glassdoor.ca/job-listing/sales-analyst-magnum-millwork-inc-JV_IC4035434_KO0,13_KE14,33.htm?jl=1009315526973",North York,$42.05Â Per hour(Employer Est.),"Microsoft Word, Microsoft Excel, Microsoft Outlook, English, Computer skills"
1009342734632,QualPro Systems Inc.,IT (information technology) business analyst,"https://www.glassdoor.ca/job-listing/it-information-technology-business-analyst-qualpro-systems-inc-JV_IC4035434_KO0,42_KE43,62.htm?jl=1009342734632",North York,$43.50Â Per hour(Employer Est.),English
1009265192606,Clearford Waterworks Inc.,database analyst,"https://www.glassdoor.ca/job-listing/database-analyst-clearford-waterworks-inc-JV_IC2280166_KO0,16_KE17,41.htm?jl=1009265192606",Point Edward,$38.97 - $40.00Â Per hour(Employer Est.),English
1009379288098,Western Energy Services,HSE Analyst,"https://www.glassdoor.ca/job-listing/hse-analyst-western-energy-services-JV_IC2275123_KO0,11_KE12,35.htm?jl=1009379288098",Calgary,$72K - $98K(Glassdoor Est.),"Microsoft Powerpoint, Microsoft Word, Microsoft Excel, Writing skills, Filing"
1009391414306,B.C. College of Nurses and Midwives,Policy Analyst,"https://www.glassdoor.ca/job-listing/policy-analyst-bc-college-of-nurses-and-midwives-JV_IC2278756_KO0,14_KE15,48.htm?jl=1009391414306",Vancouver,$104K - $110K(Employer Est.),"Microsoft Powerpoint, Microsoft Outlook, Research, Microsoft Office, Project management"
